Pvä;Korkein;Matalin;Päätös;Keskimääräinen;Kok.volyymi;Liikevaihto
13.7.2007;3385,19;3351,87;3379.03;0;;1005879446
12.7.2007;3352,24;3302,45;3348.63;0;;1122399284
11.7.2007;3318,02;3273,05;3311.28;0;;1109650967
10.7.2007;3356,97;3311,5;3322.11;0;;915170034
9.7.2007;3357,66;3334,53;3349.02;0;;691920339
6.7.2007;3341,47;3308,83;3333.51;0;;794452554
5.7.2007;3345,9;3304,44;3308.15;0;;856596942
4.7.2007;3336,72;3306,58;3332.64;0;;770663357
3.7.2007;3312,7;3286,83;3309.28;0;;1037375679
2.7.2007;3289,29;3239,68;3283.93;0;;1114970593
29.6.2007;3275,53;3239,52;3249.31;0;;1006515969
28.6.2007;3257,8;3222,71;3253;0;;968625096
27.6.2007;3255,63;3206,73;3218.96;0;;1001369172
26.6.2007;3268,39;3238,12;3259.04;0;;973529108
25.6.2007;3293,12;3237,37;3263.79;0;;1267587366
21.6.2007;3322,29;3275,25;3296.87;0;;1606394670
20.6.2007;3353,86;3314,91;3328.59;0;;1312714953
19.6.2007;3327,34;3300,42;3313.72;0;;1340386341
18.6.2007;3328,36;3307,31;3317.63;0;;1559641836
15.6.2007;3318,64;3272,95;3317.83;0;;1838836288
14.6.2007;3278,93;3216,52;3272.1;0;;1312752289
13.6.2007;3219,5;3175,19;3212.09;0;;1426614974
12.6.2007;3243,15;3197,57;3208.74;0;;1217443539
11.6.2007;3245,69;3203,49;3237.46;0;;1145761728
8.6.2007;3209,3;3153,67;3201.45;0;;1781888733
7.6.2007;3283,41;3197,19;3205.99;0;;1778767481
6.6.2007;3315,3;3248,59;3255.91;0;;1452729322
5.6.2007;3343,02;3308,41;3314.34;0;;1457942581
4.6.2007;3351,9;3328,7;3336.47;0;;1365256923
1.6.2007;3348,57;3315,36;3347.71;0;;1429120814
31.5.2007;3324,82;3270,02;3315.35;0;;1720884192
30.5.2007;3268,35;3233,1;3267.3;0;;1446232701
29.5.2007;3296,87;3268,64;3270.56;0;;999138937
28.5.2007;3295,71;3273,8;3295.68;0;;243724660
25.5.2007;3281,29;3246,21;3274.82;0;;1172660484
24.5.2007;3288,57;3255,63;3273.81;0;;1164601509
23.5.2007;3269,5;3235,7;3268.83;0;;1290007089
22.5.2007;3241,71;3224,17;3237.85;0;;1214100716
21.5.2007;3250,47;3202,83;3236.42;0;;1365178399
18.5.2007;3217,6;3192,14;3209.41;0;;1626043982
16.5.2007;3200,24;3176,57;3197.37;0;;1263053591
15.5.2007;3194,82;3162,08;3192.31;;;1610029726
14.5.2007;3183,2;3147,32;3176.55;;;2235261627
11.5.2007;3145,08;3082,7;3144.93;;;1365378499
10.5.2007;3172,94;3132,8;3133.37;;;1501330960
9.5.2007;3192,9;3141,06;3150.55;;;1466174629
8.5.2007;3242,68;3164,99;3165.57;;;1318866777
7.5.2007;3243,15;3223,61;3243.15;;;716913268
4.5.2007;3231,37;3200,04;3226.11;;;1512356921
3.5.2007;3220,11;3194,27;3212.51;;;1565623185
2.5.2007;3211,39;3177,64;3209.77;;;1604979728
30.4.2007;3193,4;3173,7;3173.7;;;1102869711
27.4.2007;3206;3167,51;3181.01;;;1466576532
26.4.2007;3214,89;3176,39;3196.33;;;2744296395
25.4.2007;3179,15;3143,71;3173;;;1293446745
24.4.2007;3191,72;3146,02;3151.8;;;1572556260
23.4.2007;3195,36;3181,91;3190.39;0;;1213436939
20.4.2007;3183,6;3143,88;3183.49;0;;1992922967
19.4.2007;3143,75;3100,05;3142.27;0;;3608368403
18.4.2007;3162,75;3119,26;3138.93;0;;1352512135
17.4.2007;3166,19;3138,01;3164.35;0;;1401334305
16.4.2007;3164,28;3142,96;3160.2;0;;1119709838
13.4.2007;3154,56;3119,36;3143.05;0;;940496705
12.4.2007;3153,92;3121,39;3149.23;0;;1209757675
11.4.2007;3183,21;3147,81;3154.99;0;;1357437867
10.4.2007;3152,68;3127,49;3150.7;0;;1218917104
5.4.2007;3137,86;3119,68;3130.03;0;;951796033
4.4.2007;3136,18;3118,42;3130.55;0;;1386067696
3.4.2007;3119,12;3075,97;3118.03;0;;1218754362
2.4.2007;3088,05;3055,48;3072.7;0;;947504303
30.3.2007;3080,34;3056,02;3077.7;0;;859919666
29.3.2007;3074,2;3039,71;3072.61;0;;1275272072
28.3.2007;3084,34;3051,04;3055.89;0;;1098326258
27.3.2007;3114,07;3080,97;3084.7;0;;958977289
26.3.2007;3120,47;3086,85;3094.61;0;;1075420912
23.3.2007;3115,35;3094,25;3113.94;0;;1016498151
22.3.2007;3113,12;3063,46;3107.17;0;;1605500272
21.3.2007;3061,27;3036,48;3059.12;0;;1013243226
20.3.2007;3048,9;3021,53;3037.55;0;;1228950249
19.3.2007;3044,51;3009,7;3043.87;0;;1135084975
16.3.2007;3027,44;2982,46;3006;0;;1828546931
15.3.2007;2993,07;2931,26;2993.07;0;;1212187876
14.3.2007;3006,59;2920,7;2927;0;;1556176113
13.3.2007;3052,47;3009,97;3009.97;0;;869283081
12.3.2007;3079;3035,33;3044.27;0;;841467002
9.3.2007;3054,14;3005,87;3046.96;0;;1130790887
8.3.2007;3047,98;3009,35;3045.85;0;;1196084008
7.3.2007;3017,32;2962,92;3008.46;0;;1225291428
6.3.2007;2978,03;2949,22;2961.67;0;;1260773599
5.3.2007;2979,81;2879,8;2950.3;0;;1634546169
2.3.2007;2990;2935,78;2984.79;0;;1901471777
1.3.2007;3021,98;2916,47;2946.23;0;;2278658588
28.2.2007;3022,34;2915,24;2987.85;;;2189084978
27.2.2007;3147,95;3024,14;3029.45;0;;1862980569
26.2.2007;3151,78;3123,25;3150.09;0;;897038531
23.2.2007;3125,32;3103,96;3125.32;0;;860292546
22.2.2007;3126,33;3092,25;3114.56;0;;969523557
21.2.2007;3128,04;3085,68;3092.43;0;;1330519118
20.2.2007;3122,53;3098,16;3111.18;0;;1130780444
19.2.2007;3110,35;3078,64;3106.56;0;;895556573
16.2.2007;3083,83;3061,69;3082.43;0;;1069737341
15.2.2007;3077,14;3057,15;3067.64;0;;1271558426
14.2.2007;3069,03;3022,76;3067.96;0;;1552843717
13.2.2007;3024,75;3009,77;3021.33;0;;996356261
12.2.2007;3044,57;3011,9;3022.61;0;;1048771093
9.2.2007;3050,34;3023,13;3046.52;0;;1137963886
8.2.2007;3053,93;3007,22;3020.64;0;;1678958791
7.2.2007;3047,98;3017,72;3041.39;0;;1624901468
6.2.2007;3028,55;3012,74;3024.95;0;;1097862508
5.2.2007;3019,71;3003,55;3017.94;0;;1013353600
2.2.2007;3019,53;2998,63;3013.96;0;;1379795224
1.2.2007;3041,66;2998,45;3007.44;0;;2042949744
31.1.2007;3008,29;2980,93;2995.13;0;;1361430673
30.1.2007;3008,26;2974,01;3008.2;0;;1320692294
29.1.2007;2986,55;2954,24;2985.46;0;;1221393399
26.1.2007;2975,03;2947,94;2958.2;0;;1814137745
25.1.2007;2994,44;2967,15;2972.11;0;;3684475208
24.1.2007;2982,58;2936,88;2975.44;0;;1506865960
23.1.2007;2944,59;2920,29;2936.66;0;;1478831316
22.1.2007;2970,57;2941,75;2941.75;0;;930088231
19.1.2007;2948,3;2902,79;2947.01;0;;1403909829
18.1.2007;2934,61;2909,91;2916.68;0;;1244533783
17.1.2007;2942,32;2924,3;2932.28;0;;1080351188
16.1.2007;2939,65;2921,71;2926.62;0;;1399287541
15.1.2007;2931,44;2882,56;2930.43;0;;935690000
